Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"
Ireland	IRL	2015	71490.805
United Arab Emirates	ARE	2014	64334.09
United States	USA	2018	61355.65
Iceland	ISL	2011	48186.168
United States	USA	2017	59914.777
Luxembourg	LUX	2015	113182.73
United Kingdom	GBR	2014	44247.03
Luxembourg	LUX	2016	116283.7
Panama	PAN	2011	23461.873
Oman	OMN	2014	35032.258
United Kingdom	GBR	2017	46372.387
Venezuela	VEN	2014	
Belgium	BEL	2021	51739.54
Singapore	SGP	2014	87616.64
United Arab Emirates	ARE	2019	71782.16
Panama	PAN	2014	27440.566
Mexico	MEX	2015	19542.89
Malta	MLT	2019	45433.918
Spain	ESP	2011	36863.492
Germany	DEU	2014	50845.527
France	FRA	2011	42862.414
Mexico	MEX	2011	18432.37
Singapore	SGP	2015	89160.73
Malta	MLT	2018	44615.605
United Kingdom	GBR	2015	44948.336
United Kingdom	GBR	2016	45574.848
Czechia	CZE	2017	38824.887
Chile	CHL	2015	24464.746
Panama	PAN	2015	28512.926
Brazil	BRA	2011	15271.47
France	FRA	2020	42233.14
France	FRA	2021	44993.125
Chile	CHL	2014	24197.184
France	FRA	2019	45922.793
Chile	CHL	2016	24599.375
Argentina	ARG	2015	23933.887
Bahrain	BHR	2021	49387.418
Bahrain	BHR	2020	47847.84
Brazil	BRA	2016	14402.494
Slovenia	SVN	2021	40036.484
Malta	MLT	2017	43516.55
Qatar	QAT	2014	106141.33
Czechia	CZE	2016	37014.96
Malta	MLT	2020	40740.97
Argentina	ARG	2016	23189.527
Czechia	CZE	2015	36168.418
Mexico	MEX	2018	20278.217
Puerto Rico	PRI	2011	33224.574
France	FRA	2018	45245.96
Costa Rica	CRI	2021	21199.281
Italy	ITA	2011	42892.305
Mexico	MEX	2016	19830.963
United Arab Emirates	ARE	2021	69733.8
France	FRA	2014	43021.395
Kuwait	KWT	2011	61356.938
Argentina	ARG	2014	23550.1
United Arab Emirates	ARE	2015	68076.63
Germany	DEU	2011	49757.926
Singapore	SGP	2016	91146.09
Qatar	QAT	2011	111879.75
Turkmenistan	TKM	2011	9379.144
United Arab Emirates	ARE	2020	67668.29
Singapore	SGP	2011	81258.086
Uruguay	URY	2015	22486.428
Malta	MLT	2016	40319.73
Czechia	CZE	2014	34386.703
Spain	ESP	2020	35967.89
France	FRA	2017	44577.066
Mexico	MEX	2017	20032.408
Malta	MLT	2015	39903.938
Uruguay	URY	2014	22477.06
Italy	ITA	2020	39065.28
Colombia	COL	2015	14215.688
Singapore	SGP	2021	106032.23
France	FRA	2015	43345.785
Colombia	COL	2014	13938.231
Romania	ROU	2021	30776.93
Spain	ESP	2021	37913.074
Chile	CHL	2017	24546.912
Uruguay	URY	2021	22800.69
Italy	ITA	2021	41929.43
Mexico	MEX	2019	20064.5
Slovenia	SVN	2020	37098.12
Kosovo	OWID_KOS	2021	11884.18
Uruguay	URY	2016	22793.07
Panama	PAN	2016	29410.635
Belize	BLZ	2011	8776.863
Malta	MLT	2021	44658.72
Lithuania	LTU	2021	39305.613
Chile	CHL	2018	25071.99
France	FRA	2016	43705.15
Uruguay	URY	2019	23256.598
Guatemala	GTM	2018	8469.115
Guatemala	GTM	2020	8390.223
Uruguay	URY	2020	21828.64
Panama	PAN	2017	30526.379
Brazil	BRA	2017	14477.861
Cyprus	CYP	2011	37593.93
Saudi Arabia	SAU	2019	44954.992
Spain	ESP	2016	38476.79
Spain	ESP	2019	40760.31
Guatemala	GTM	2019	8671.703
Slovakia	SVK	2021	31866.025
Argentina	ARG	2017	23597.117
Italy	ITA	2019	42739.05
Guatemala	GTM	2017	8322.217
Uruguay	URY	2017	23106.998
Singapore	SGP	2019	98283.31
Singapore	SGP	2020	94505.63
Brazil	BRA	2019	14685.128
Qatar	QAT	2016	97783.12
Qatar	QAT	2015	101971.99
Saudi Arabia	SAU	2018	45840.84
Qatar	QAT	2018	91461.62
Qatar	QAT	2017	92177.59
Kosovo	OWID_KOS	2020	10706.514
Slovenia	SVN	2019	39034.234
Spain	ESP	2015	37373.95
Czechia	CZE	2011	34002.19
Colombia	COL	2016	14358.168
Algeria	DZA	2015	11751.634
Spain	ESP	2018	40255.254
El Salvador	SLV	2019	9021.426
Singapore	SGP	2017	95310.336
Estonia	EST	2021	38717.695
Slovakia	SVK	2020	30867.973
Brazil	BRA	2020	14021.958
Spain	ESP	2014	35964.46
Kosovo	OWID_KOS	2019	11318.462
Malaysia	MYS	2017	25935.143
Panama	PAN	2018	31125.625
Mexico	MEX	2020	18327.99
Spain	ESP	2017	39528.926
Jamaica	JAM	2020	9198.148
Panama	PAN	2021	29037.945
Panama	PAN	2019	31543.605
Malta	MLT	2014	37285.24
Brazil	BRA	2018	14619.591
Uruguay	URY	2018	23184.625
Slovakia	SVK	2019	31973.46
Guatemala	GTM	2011	7503.675
Suriname	SUR	2015	18768.795
Suriname	SUR	2014	19629.223
Trinidad and Tobago	TTO	2011	27062.385
Guatemala	GTM	2021	8926.7
Singapore	SGP	2018	98336.95
Colombia	COL	2017	14334.915
Uzbekistan	UZB	2019	7348.147
Lithuania	LTU	2020	37166.41
El Salvador	SLV	2018	8812.201
Argentina	ARG	2011	24647.629
Chile	CHL	2019	24816.611
Bahrain	BHR	2019	49768.977
Cyprus	CYP	2020	39471.582
Italy	ITA	2018	42045.92
Cyprus	CYP	2021	41701.703
Bahrain	BHR	2015	48453.727
Lithuania	LTU	2019	37184.453
Jamaica	JAM	2011	9823.773
Colombia	COL	2011	12578.016
Bahrain	BHR	2018	48937.66
Slovakia	SVK	2018	31229.863
Trinidad and Tobago	TTO	2019	25306.617
Trinidad and Tobago	TTO	2018	25534.84
Trinidad and Tobago	TTO	2017	26213.924
Estonia	EST	2020	35883.266
Poland	POL	2019	33159.75
Poland	POL	2018	31739.258
Latvia	LVA	2021	32081.455
Panama	PAN	2020	25510.273
Uzbekistan	UZB	2020	7344.22
Serbia	SRB	2021	19831.297
Uzbekistan	UZB	2018	7082.9253
Slovakia	SVK	2017	30061.55
Chile	CHL	2020	23017.69
Chile	CHL	2021	25449.13
Trinidad and Tobago	TTO	2016	27682.445
Trinidad and Tobago	TTO	2015	29876.98
Trinidad and Tobago	TTO	2014	30301.936
El Salvador	SLV	2017	8617.922
Poland	POL	2020	32546.826
Nicaragua	NIC	2021	5638.748
Colombia	COL	2019	14616.135
Cyprus	CYP	2019	41746.918
Kazakhstan	KAZ	2020	25361.508
Lithuania	LTU	2018	35446.707
Nicaragua	NIC	2017	5915.3755
Romania	ROU	2020	29062.473
Nicaragua	NIC	2019	5348.9873
Greece	GRC	2011	30318.404
El Salvador	SLV	2014	8100.975
Chile	CHL	2011	22323.723
Mexico	MEX	2021	19086.105
Croatia	HRV	2021	31635.824
Colombia	COL	2018	14426.435
Romania	ROU	2019	30006.336
Guatemala	GTM	2014	7939.3745
Poland	POL	2017	29958.121
Poland	POL	2021	34915.523
El Salvador	SLV	2021	9086.047
Slovenia	SVN	2018	37995.715
Kuwait	KWT	2020	43922.63
Bahrain	BHR	2017	48929.445
Nicaragua	NIC	2018	5636.6396
Kuwait	KWT	2019	47314.797
Mauritius	MUS	2019	23681.58
Kosovo	OWID_KOS	2018	10755.168
Slovakia	SVK	2016	29248.885
Uzbekistan	UZB	2017	6840.71
Bahrain	BHR	2016	48486.305
Argentina	ARG	2018	22747.242
Hungary	HUN	2021	33593.152
Malaysia	MYS	2016	24859.799
Venezuela	VEN	2015	
Kuwait	KWT	2017	50007.3
Slovakia	SVK	2015	28728.156
Serbia	SRB	2020	18265.967
Mauritius	MUS	2021	20967.947
Nicaragua	NIC	2016	5734.355
Romania	ROU	2018	28741.227
El Salvador	SLV	2015	8266.723
Uzbekistan	UZB	2021	7734.8325
El Salvador	SLV	2020	8267.251
Japan	JPN	2011	38149.617
Mauritius	MUS	2020	20224.223
Cyprus	CYP	2018	40099.836
Japan	JPN	2021	40784.383
Latvia	LVA	2020	30568.502
Ecuador	ECU	2018	11608.419
Honduras	HND	2021	5572.177
Estonia	EST	2019	36153.434
Kuwait	KWT	2018	48943.008
Portugal	PRT	2021	33674.527
Colombia	COL	2020	13387.701
Ecuador	ECU	2016	11587.825
Philippines	PHL	2019	8731.861
Malaysia	MYS	2015	24151.26
El Salvador	SLV	2016	8450.251
Hungary	HUN	2019	32649.143
Italy	ITA	2017	41581.12
Slovakia	SVK	2014	27342.627
Guyana	GUY	2011	10394.143
Nicaragua	NIC	2015	5563.004
Hungary	HUN	2020	31231.596
Japan	JPN	2014	39739.543
Uzbekistan	UZB	2015	6401.115
South Korea	KOR	2014	37967.477
Italy	ITA	2015	40247.83
Ecuador	ECU	2015	11908.216
Ecuador	ECU	2014	12073.811
Argentina	ARG	2019	22071.748
Ecuador	ECU	2017	11679.431
Poland	POL	2016	28497.104
Uzbekistan	UZB	2016	6663.9497
Argentina	ARG	2021	21527.195
Italy	ITA	2016	40837.74
Russia	RUS	2016	25490.709
Bahrain	BHR	2014	49117.99
Malta	MLT	2011	32930.297
Belize	BLZ	2016	9208.114
Belize	BLZ	2015	9387.914
El Salvador	SLV	2011	7665.948
Belize	BLZ	2017	8873.754
Honduras	HND	2019	5613.6606
Lithuania	LTU	2017	33761.87
Latvia	LVA	2019	31038.68
Greece	GRC	2021	29548.04
Italy	ITA	2014	39898.527
Slovenia	SVN	2017	36507.555
Romania	ROU	2017	26948.158
Japan	JPN	2020	39935.465
Latvia	LVA	2018	30051.402
South Korea	KOR	2021	44232.207
Latvia	LVA	2017	28673.562
Argentina	ARG	2020	19685.217
Portugal	PRT	2020	32011.324
Ecuador	ECU	2019	11390.217
Slovenia	SVN	2011	33568.066
Japan	JPN	2015	40402.582
Japan	JPN	2016	40727.97
Honduras	HND	2020	5028.145
Kazakhstan	KAZ	2015	24290.418
Japan	JPN	2017	41444.215
Portugal	PRT	2019	34945.66
Lithuania	LTU	2016	31925.803
Uruguay	URY	2011	20275.441
Moldova	MDA	2015	10355.539
South Korea	KOR	2018	41965.89
Estonia	EST	2018	34979.867
Mauritius	MUS	2017	22148.625
Jamaica	JAM	2019	10244.366
Jamaica	JAM	2018	10160.764
Jamaica	JAM	2017	9984.577
Moldova	MDA	2014	10311.288
Mauritius	MUS	2018	23023.5
Japan	JPN	2018	41739.203
Croatia	HRV	2020	26950.719
Paraguay	PRY	2014	12616.414
South Korea	KOR	2017	40957.418
South Korea	KOR	2019	42758.59
Algeria	DZA	2016	11888.323
Japan	JPN	2019	41697.41
Honduras	HND	2018	5561.2627
Russia	RUS	2015	25488.096
Kazakhstan	KAZ	2014	24355.756
Latvia	LVA	2016	27509.336
Jamaica	JAM	2021	9596.564
Slovenia	SVN	2014	33093.75
South Korea	KOR	2020	42396.76
Peru	PER	2020	11176.919
Moldova	MDA	2016	10938.585
South Korea	KOR	2016	39814.66
Poland	POL	2015	27667.69
South Korea	KOR	2015	38828.742
Lithuania	LTU	2014	29855.832
Nicaragua	NIC	2014	5385.4985
Romania	ROU	2016	24763.135
Peru	PER	2014	11773.944
Malaysia	MYS	2011	20900.322
Bolivia	BOL	2016	8034.173
Bolivia	BOL	2015	7825.7666
Bosnia and Herzegovina	BIH	2020	14358.987
Belarus	BLR	2014	19119.346
Lithuania	LTU	2015	30748.197
Russia	RUS	2017	25926.443
Thailand	THA	2011	14199.279
Poland	POL	2011	24874.172
Belarus	BLR	2015	18362.746
Peru	PER	2019	12735.168
Poland	POL	2014	26488.201
Kazakhstan	KAZ	2017	24862.967
Colombia	COL	2021	14648.592
Bolivia	BOL	2018	8466.293
Serbia	SRB	2019	18310.08
Malaysia	MYS	2014	23328.344
Bosnia and Herzegovina	BIH	2021	15666.54
Slovenia	SVN	2015	33799.727
Moldova	MDA	2020	12201.778
Ecuador	ECU	2020	10356.975
Cyprus	CYP	2017	38421.97
Mongolia	MNG	2021	11668.431
Croatia	HRV	2014	24118.531
Hungary	HUN	2018	31122.502
Slovenia	SVN	2016	34853.043
Bolivia	BOL	2017	8244.934
Bolivia	BOL	2019	8528.749
Peru	PER	2015	12015.1875
Paraguay	PRY	2018	13848.499
Estonia	EST	2017	33821.934
Dominican Republic	DOM	2021	18626.078
Greece	GRC	2020	27103.541
Russia	RUS	2014	26057.156
Bolivia	BOL	2020	7679.933
Peru	PER	2016	12321.318
Malaysia	MYS	2021	26333.156
Jamaica	JAM	2014	9745.554
Jordan	JOR	2011	11885.238
Peru	PER	2018	12696.236
Pakistan	PAK	2019	5157.5464
Portugal	PRT	2018	34040.727
Paraguay	PRY	2019	13609.723
Dominican Republic	DOM	2019	18171.06
Cyprus	CYP	2014	33241.19
Paraguay	PRY	2017	13604.175
Mongolia	MNG	2020	11666.779
Bosnia and Herzegovina	BIH	2019	14634.738
Peru	PER	2017	12442.746
Kosovo	OWID_KOS	2017	10436.169
Turkmenistan	TKM	2015	12540.284
Slovakia	SVK	2011	26210.758
Pakistan	PAK	2018	5113.434
Paraguay	PRY	2020	13317.321
Mauritius	MUS	2015	20549.629
Russia	RUS	2018	26656.41
South Korea	KOR	2011	35388.977
Moldova	MDA	2017	11651.187
Philippines	PHL	2018	8365.732
Mauritius	MUS	2016	21328.688
Croatia	HRV	2011	24654.197
Cyprus	CYP	2016	36678.098
Hungary	HUN	2017	29501.121
Estonia	EST	2016	32008.934
Moldova	MDA	2019	13030.183
Algeria	DZA	2014	11561.26
Serbia	SRB	2018	17455.945
Bolivia	BOL	2021	8052.1772
Kazakhstan	KAZ	2011	21970.084
Kosovo	OWID_KOS	2014	8796.63
Lithuania	LTU	2011	25968.584
Montenegro	MNE	2020	18262.236
Paraguay	PRY	2021	13687.655
Belarus	BLR	2016	17883.127
Bahrain	BHR	2011	46564.71
Belarus	BLR	2011	18274.021
Honduras	HND	2011	4874.8735
Latvia	LVA	2015	26628.355
Turkmenistan	TKM	2014	11989.653
Montenegro	MNE	2021	20602.5
Montenegro	MNE	2019	21537.809
Cyprus	CYP	2015	34573.973
Russia	RUS	2019	27254.574
Dominican Republic	DOM	2020	16768.426
Belarus	BLR	2019	19279.209
Paraguay	PRY	2015	12806.097
Ecuador	ECU	2021	10668.758
Moldova	MDA	2018	12367.764
Romania	ROU	2015	23937.46
Philippines	PHL	2017	8001.7563
Montenegro	MNE	2018	20690.285
Estonia	EST	2015	31038.805
Greece	GRC	2019	29721.586
Hong Kong	HKG	2019	59588.52
Jamaica	JAM	2015	9800.507
Croatia	HRV	2019	29352.79
Honduras	HND	2017	5447.6987
Turkey	TUR	2016	25996.967
Paraguay	PRY	2016	13163.74
Croatia	HRV	2015	24931.486
Belarus	BLR	2017	18356.102
Turkey	TUR	2017	27582.832
Russia	RUS	2020	26583.797
Mauritius	MUS	2011	17988.684
Mauritius	MUS	2014	19844.488
Hong Kong	HKG	2020	55888.688
Hong Kong	HKG	2014	56358.043
Pakistan	PAK	2017	4891.7197
Hong Kong	HKG	2016	58098.395
Tajikistan	TJK	2020	3651.9421
Russia	RUS	2021	27960.102
Hong Kong	HKG	2015	57214.69
Mongolia	MNG	2019	12458.019
Croatia	HRV	2018	28225.002
Hong Kong	HKG	2018	61055.34
Hong Kong	HKG	2017	59842.215
Philippines	PHL	2016	7616.05
Estonia	EST	2014	30494.096
Dominican Republic	DOM	2018	17484.121
Vietnam	VNM	2011	6658.667
Ecuador	ECU	2011	10988.722
Hong Kong	HKG	2021	59978.15
Hong Kong	HKG	2011	53471.797
Kosovo	OWID_KOS	2011	8040.5938
Cuba	CUB	2011	
Portugal	PRT	2017	33044.715
Kosovo	OWID_KOS	2015	9445.105
Armenia	ARM	2021	14193.117
Paraguay	PRY	2011	11613.169
Serbia	SRB	2017	16614.014
Serbia	SRB	2016	16185.742
Turkey	TUR	2015	25594.66
Bosnia and Herzegovina	BIH	2018	14066.845
Malaysia	MYS	2020	25830.973
Malaysia	MYS	2019	27674.402
Turkey	TUR	2018	28157.979
Bulgaria	BGR	2021	24398.13
Algeria	DZA	2011	11113.969
Greece	GRC	2017	28604.861
Montenegro	MNE	2017	19685.809
China	CHN	2020	16296.779
Malaysia	MYS	2018	26835.81
Jordan	JOR	2016	9633.101
Estonia	EST	2011	27990.137
Portugal	PRT	2011	31304.816
Hungary	HUN	2016	28217.354
Belarus	BLR	2018	18974.7
Myanmar	MMR	2011	3018.4617
Croatia	HRV	2017	27211.824
Jamaica	JAM	2016	9906.04
Moldova	MDA	2011	9050.126
Jordan	JOR	2015	9912.713
Dominican Republic	DOM	2017	16524.533
Algeria	DZA	2017	11809.483
Croatia	HRV	2016	25999.834
Azerbaijan	AZE	2015	14852.611
Greece	GRC	2018	29141.174
Mongolia	MNG	2018	12052.294
Russia	RUS	2011	24972.078
Armenia	ARM	2020	13357.697
Kosovo	OWID_KOS	2016	10031.044
North Macedonia	MKD	2018	16148.459
China	CHN	2016	13399.138
Pakistan	PAK	2016	4746.718
Bulgaria	BGR	2020	22483.598
Peru	PER	2011	10539.982
Morocco	MAR	2017	7921.619
Venezuela	VEN	2016	
China	CHN	2017	14243.532
China	CHN	2015	12612.352
Montenegro	MNE	2016	18801.268
Morocco	MAR	2016	7632.1855
Azerbaijan	AZE	2016	14232.192
Turkey	TUR	2011	21716.266
Dominican Republic	DOM	2016	15967.202
Greece	GRC	2016	28239.92
Lebanon	LBN	2016	17248.19
Azerbaijan	AZE	2014	14867.943
Algeria	DZA	2018	11725.878
Morocco	MAR	2018	8072.0864
Azerbaijan	AZE	2018	14209.593
Azerbaijan	AZE	2017	14121.407
Lebanon	LBN	2017	17808.076
Albania	ALB	2021	14518.906
Maldives	MDV	2019	20574.404
Lebanon	LBN	2018	17970.94
Bhutan	BTN	2015	9877.247
Portugal	PRT	2016	31847.537
Pakistan	PAK	2014	4403.673
South Africa	ZAF	2021	13311.926
Jordan	JOR	2014	10605.35
Montenegro	MNE	2014	17677.787
China	CHN	2018	15133.996
North Macedonia	MKD	2017	15709.287
Bosnia and Herzegovina	BIH	2016	12837.599
Honduras	HND	2016	5287.253
Romania	ROU	2011	21446.771
Serbia	SRB	2015	15581.014
North Macedonia	MKD	2016	15556.255
Azerbaijan	AZE	2021	14431.661
Azerbaijan	AZE	2020	13726.77
Azerbaijan	AZE	2019	14442.041
Bosnia and Herzegovina	BIH	2015	12292.545
Montenegro	MNE	2015	18266.879
Jordan	JOR	2017	9629.103
North Macedonia	MKD	2019	16776.076
Morocco	MAR	2015	7687.691
Pakistan	PAK	2011	4082.4495
Ghana	GHA	2019	5345.9414
Montenegro	MNE	2011	17290.512
Hungary	HUN	2015	27528.307
Cameroon	CMR	2020	3665.5105
China	CHN	2014	11851.404
Nepal	NPL	2019	3922.0813
Albania	ALB	2011	11054.788
Pakistan	PAK	2015	4552.6055
Turkey	TUR	2019	28150.059
Bosnia and Herzegovina	BIH	2017	13402.434
Lebanon	LBN	2015	16611.72
Zambia	ZMB	2014	3375.9412
Mongolia	MNG	2017	11431.498
Romania	ROU	2014	23095.28
China	CHN	2019	15977.764
Portugal	PRT	2015	31118.791
Serbia	SRB	2014	15229.067
Algeria	DZA	2021	11039.806
North Macedonia	MKD	2015	15141.992
Albania	ALB	2020	13256.125
Nicaragua	NIC	2011	4805.4023
Portugal	PRT	2014	30444.6
Bulgaria	BGR	2019	23270.225
South Africa	ZAF	2011	13721.686
Latvia	LVA	2014	25423.488
Morocco	MAR	2019	8217.599
Ghana	GHA	2020	5263.5264
Ukraine	UKR	2021	12943.614
Bhutan	BTN	2018	11233.78
Bhutan	BTN	2017	10986.888
Nigeria	NGA	2016	5209.074
Morocco	MAR	2021	8058.397
Venezuela	VEN	2019	
Lebanon	LBN	2011	19216.969
Dominican Republic	DOM	2011	12905.289
Greece	GRC	2015	28260.387
Morocco	MAR	2014	7462.153
Bhutan	BTN	2016	10587.57
Bulgaria	BGR	2018	22210.123
North Macedonia	MKD	2014	14599.242
Algeria	DZA	2019	11627.28
Ghana	GHA	2018	5125.2495
Cameroon	CMR	2017	3691.0947
India	IND	2011	4374.2324
Nepal	NPL	2016	3244.6743
Albania	ALB	2014	11588.925
South Africa	ZAF	2020	12815.909
Mongolia	MNG	2016	11058.95
Bosnia and Herzegovina	BIH	2014	11768.1045
Turkey	TUR	2020	28473.205
Hungary	HUN	2011	25005.287
Pakistan	PAK	2020	5004.352
Bulgaria	BGR	2017	21473.805
Venezuela	VEN	2021	
Morocco	MAR	2020	7545.995
Nepal	NPL	2018	3719.3079
Mongolia	MNG	2015	11134.802
Jordan	JOR	2018	9584.507
Venezuela	VEN	2020	
Algeria	DZA	2020	10844.7705
Namibia	NAM	2011	9431.044
Dominican Republic	DOM	2014	14334.733
Albania	ALB	2019	13655.665
Iraq	IRQ	2011	8493.082
Nepal	NPL	2017	3495.5288
Ukraine	UKR	2020	12407.79
Mongolia	MNG	2014	11107.989
Ghana	GHA	2021	5435.238
Honduras	HND	2015	5180.1865
Eswatini	SWZ	2014	7969.2075
Bosnia and Herzegovina	BIH	2011	10934.089
Greece	GRC	2014	28129.96
Egypt	EGY	2011	9762.974
Lebanon	LBN	2014	16863.637
South Africa	ZAF	2016	13844.276
Philippines	PHL	2011	5995.431
South Africa	ZAF	2019	13852.206
Bangladesh	BGD	2011	3571.0586
Venezuela	VEN	2017	
Hungary	HUN	2014	26481.166
Zambia	ZMB	2015	3365.3792
Morocco	MAR	2011	6064.432
Nepal	NPL	2015	3260.035
Honduras	HND	2014	5079.7036
Palestine	PSE	2016	6438.9336
Lebanon	LBN	2019	17172.197
Palestine	PSE	2015	6048.9766
Turkey	TUR	2021	31466.56
Palestine	PSE	2017	6401.7407
Egypt	EGY	2016	10218.394
Nigeria	NGA	2019	5076.368
South Africa	ZAF	2017	13950.453
South Africa	ZAF	2018	13990.314
Albania	ALB	2018	13319.495
Palestine	PSE	2014	5967.073
Bulgaria	BGR	2016	20744.523
Ghana	GHA	2011	4128.56
Zambia	ZMB	2011	3146.8445
Palestine	PSE	2018	6318.21
Cameroon	CMR	2016	3667.3228
Bangladesh	BGD	2014	4119.425
Mozambique	MOZ	2011	1092.7732
Iran	IRN	2014	14538.521
Ukraine	UKR	2014	12385.813
China	CHN	2011	9680.098
Armenia	ARM	2019	14317.553
Georgia	GEO	2019	14989.258
Ghana	GHA	2017	4929.568
Albania	ALB	2015	11880.598
Albania	ALB	2016	12294.077
Bangladesh	BGD	2015	4337.3857
South Africa	ZAF	2014	13993.2705
Namibia	NAM	2018	10266.171
Uganda	UGA	2020	2240.4902
Sierra Leone	SLE	2015	1513.562
Jordan	JOR	2019	9551.165
Ghana	GHA	2014	4628.9014
Malawi	MWI	2011	1383.5809
Tajikistan	TJK	2011	2481.572
